                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3476,                 4.3929,                 1.1295,                0.01935,                0.25191,                0.03928,                0.01781,                 1.5706,                 4.0106,                 1.0337,              6.875e-05,              6.875e-05,              6.875e-05
                      2,                 1.1627,                 3.7907,                 1.0019,                0.04269,                0.62717,                0.09692,                0.05723,                 1.4206,                 3.8987,                 1.0353,             0.00014233,             0.00014233,             0.00014233
                      3,                 1.1713,                 3.1879,                 1.0135,                0.05658,                0.81753,                 0.1724,                0.10417,                 1.3484,                 3.5434,                 1.0065,             0.00021442,             0.00021442,             0.00021442
                      4,                 1.1361,                 2.5669,                  1.026,                0.07597,                0.95267,                0.41093,                0.24419,                 1.3551,                 3.2143,                 1.1224,             0.00028503,             0.00028503,             0.00028503
                      5,                 1.1853,                 2.1627,                 1.0539,                 0.5142,                0.39526,                0.46828,                0.28371,                 1.4005,                 3.0056,                 1.1229,             0.00035415,             0.00035415,             0.00035415
                      6,                 1.1819,                 1.7112,                 1.0604,                 0.7805,                0.33833,                0.70563,                0.42343,                 1.4766,                 2.4263,                  1.239,             0.00042178,             0.00042178,             0.00042178
                      7,                 1.1698,                 1.4707,                 1.0315,                0.75173,                 0.7836,                0.89708,                0.56626,                 1.5182,                 1.7036,                 1.2549,             0.00048794,             0.00048794,             0.00048794
                      8,                 1.1704,                 1.2455,                 1.0634,                0.88208,                0.84632,                0.95624,                0.60964,                  1.561,                 1.3796,                 1.2597,              0.0005526,              0.0005526,              0.0005526
                      9,                 1.0836,                 1.0955,                 1.0295,                0.91854,                0.95329,                 0.9935,                0.62144,                 1.5822,                 1.0719,                  1.247,              0.0005755,              0.0005755,              0.0005755
                     10,                 1.0633,                0.98393,                 1.0181,                0.90865,                0.96135,                0.99305,                0.63385,                 1.4959,                0.90487,                   1.25,              0.0005755,              0.0005755,              0.0005755
                     11,                 1.0633,                0.91425,                 1.0271,                0.94257,                0.94879,                0.98735,                0.63823,                  1.539,                0.82642,                  1.245,             0.00056931,             0.00056931,             0.00056931
                     12,                 1.0715,                0.90265,                 1.0355,                0.92473,                0.95456,                  0.995,                0.65377,                 1.4525,                0.81837,                 1.2086,             0.00056313,             0.00056313,             0.00056313
                     13,                 1.0469,                0.85149,                 1.0291,                0.95348,                 0.9918,                  0.995,                0.65159,                 1.4216,                0.79827,                 1.1776,             0.00055694,             0.00055694,             0.00055694
                     14,                 1.0143,                0.80325,                 1.0261,                0.95405,                 0.9841,                  0.995,                0.65809,                 1.3919,                 0.8561,                 1.1536,             0.00055075,             0.00055075,             0.00055075
