                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6063,                 3.7987,                 1.4521,                0.02846,                 0.9522,                0.14447,                0.11221,                 0.6596,                 3.3419,                0.84342,             0.00014375,             0.00014375,             0.00014375
                      2,                 1.3532,                 2.8781,                 1.2263,                0.82026,                0.08523,                0.23606,                0.18975,                0.72628,                 2.7471,                0.86412,             0.00028793,             0.00028793,             0.00028793
                      3,                 1.2337,                 2.1772,                 1.1746,                0.46401,                0.56221,                0.50695,                0.41161,                0.72138,                 1.6151,                0.88482,             0.00042618,             0.00042618,             0.00042618
                      4,                 1.2212,                 1.7942,                 1.1808,                0.76274,                0.74089,                0.80273,                0.66973,                0.79695,                 1.0913,                 0.9587,             0.00055848,             0.00055848,             0.00055848
                      5,                 1.1225,                 1.4991,                 1.1547,                0.65677,                 0.8361,                0.83229,                0.70505,                0.67449,                0.89137,                0.91615,              0.0005755,              0.0005755,              0.0005755
                      6,                 1.0716,                  1.315,                 1.1255,                 0.9207,                0.85202,                0.91315,                0.77969,                0.66636,                0.73364,                0.92453,              0.0005755,              0.0005755,              0.0005755
                      7,                 1.0723,                 1.2399,                 1.1186,                0.95046,                 0.9099,                0.98607,                0.84623,                0.67114,                0.62154,                0.91165,             0.00056313,             0.00056313,             0.00056313
                      8,                   1.06,                 1.1783,                 1.1159,                0.96562,                0.91263,                0.99083,                0.85507,                0.66722,                0.61722,                0.92047,             0.00055075,             0.00055075,             0.00055075
                      9,                 1.0385,                 1.1145,                 1.1158,                0.93027,                0.99591,                  0.995,                0.86815,                0.63718,                0.55639,                0.89979,             0.00053838,             0.00053838,             0.00053838
                     10,                  1.011,                 1.0389,                 1.1014,                0.97852,                0.99868,                  0.995,                0.86707,                0.62473,                0.54548,                0.90606,               0.000526,               0.000526,               0.000526
                     11,                 1.0183,                 1.0253,                  1.111,                0.97394,                      1,                  0.995,                0.85672,                0.68011,                 0.5227,                0.91502,             0.00051363,             0.00051363,             0.00051363
                     12,                 1.0116,                0.99492,                 1.1034,                0.97247,                      1,                  0.995,                0.86215,                0.62687,                0.48193,                0.90501,             0.00050125,             0.00050125,             0.00050125
                     13,                0.96214,                0.96104,                   1.08,                0.96074,                0.98286,                  0.995,                0.86317,                0.61503,                0.50335,                0.89981,             0.00048888,             0.00048888,             0.00048888
                     14,                 0.9751,                0.94983,                 1.0858,                0.94687,                0.99521,                  0.995,                0.87024,                0.62051,                0.53736,                0.90088,              0.0004765,              0.0004765,              0.0004765
                     15,                0.94085,                0.89323,                 1.0652,                0.96438,                0.98398,                  0.995,                0.87021,                0.59119,                 0.4566,                0.89148,             0.00046413,             0.00046413,             0.00046413
                     16,                0.92802,                0.87009,                 1.0569,                0.98667,                0.98548,                  0.995,                0.87153,                0.65914,                0.45291,                0.91465,             0.00045175,             0.00045175,             0.00045175
                     17,                 0.9131,                0.85388,                 1.0585,                0.98534,                      1,                  0.995,                0.88659,                0.59163,                0.42855,                0.89194,             0.00043937,             0.00043937,             0.00043937
                     18,                0.91742,                0.84863,                 1.0663,                0.97678,                      1,                  0.995,                0.87498,                0.61618,                0.44255,                0.89748,               0.000427,               0.000427,               0.000427
                     19,                0.89364,                 0.8388,                 1.0526,                0.98569,                      1,                  0.995,                0.87239,                0.60495,                0.40355,                0.89709,             0.00041462,             0.00041462,             0.00041462
                     20,                0.91116,                0.82986,                 1.0583,                0.97981,                      1,                  0.995,                 0.8677,                0.62455,                0.45985,                0.89943,             0.00040225,             0.00040225,             0.00040225
                     21,                0.90276,                0.82107,                 1.0542,                0.98409,                      1,                  0.995,                0.87106,                0.59858,                0.41224,                 0.8962,             0.00038988,             0.00038988,             0.00038988
                     22,                0.88232,                0.78577,                 1.0403,                0.98254,                      1,                  0.995,                0.87925,                0.60651,                0.42149,                0.89667,              0.0003775,              0.0003775,              0.0003775
                     23,                0.87717,                0.77635,                   1.04,                0.97939,                      1,                  0.995,                0.87446,                0.60749,                0.39438,                0.90069,             0.00036513,             0.00036513,             0.00036513
                     24,                0.85863,                0.76604,                 1.0368,                 0.9829,                      1,                  0.995,                0.87593,                0.58339,                0.40094,                 0.8966,             0.00035275,             0.00035275,             0.00035275
                     25,                0.85233,                0.75412,                 1.0405,                0.98724,                      1,                  0.995,                 0.8831,                  0.586,                0.39491,                0.89062,             0.00034038,             0.00034038,             0.00034038
                     26,                0.86933,                0.75593,                 1.0504,                0.98613,                      1,                  0.995,                0.88716,                0.56865,                0.37821,                0.88967,               0.000328,               0.000328,               0.000328
                     27,                0.84418,                0.72679,                 1.0284,                0.99146,                      1,                  0.995,                 0.8852,                  0.586,                0.36102,                0.90052,             0.00031562,             0.00031562,             0.00031562
                     28,                0.85464,                0.73046,                 1.0289,                0.98113,                      1,                  0.995,                0.89058,                 0.5824,                0.36469,                0.89178,             0.00030325,             0.00030325,             0.00030325
                     29,                0.85104,                0.72519,                 1.0318,                0.99132,                      1,                  0.995,                0.88803,                 0.5763,                0.36088,                0.89041,             0.00029088,             0.00029088,             0.00029088
                     30,                0.81503,                0.69894,                 1.0223,                0.99007,                      1,                  0.995,                0.88147,                0.58424,                0.36114,                0.89563,              0.0002785,              0.0002785,              0.0002785
                     31,                 0.8181,                0.68843,                  1.016,                0.99232,                      1,                  0.995,                0.88082,                 0.5783,                0.35243,                0.89709,             0.00026613,             0.00026613,             0.00026613
                     32,                0.81739,                0.70501,                 1.0194,                0.98783,                      1,                  0.995,                0.88789,                0.56738,                0.37535,                0.88963,             0.00025375,             0.00025375,             0.00025375
                     33,                0.83167,                0.69875,                 1.0259,                0.99102,                      1,                  0.995,                0.87858,                0.57567,                0.36488,                 0.8887,             0.00024137,             0.00024137,             0.00024137
                     34,                0.80751,                0.66941,                 1.0132,                0.98991,                      1,                  0.995,                0.88064,                0.56793,                0.35369,                0.88612,               0.000229,               0.000229,               0.000229
                     35,                0.81387,                0.68038,                 1.0182,                0.98712,                      1,                  0.995,                0.88876,                0.56942,                0.35767,                0.88846,             0.00021662,             0.00021662,             0.00021662
                     36,                0.80519,                0.68184,                 1.0139,                0.98713,                      1,                  0.995,                0.88317,                0.57338,                 0.3471,                 0.8907,             0.00020425,             0.00020425,             0.00020425
                     37,                0.78548,                0.65828,                 1.0046,                0.99031,                      1,                  0.995,                 0.8805,                0.57588,                 0.3478,                0.88622,             0.00019188,             0.00019188,             0.00019188
                     38,                0.79122,                0.65265,                 1.0174,                0.99108,                      1,                  0.995,                0.88379,                0.56751,                0.34196,                 0.8904,              0.0001795,              0.0001795,              0.0001795
                     39,                 0.7909,                0.64629,                 1.0069,                0.99212,                      1,                  0.995,                 0.8764,                0.56677,                0.32633,                0.89032,             0.00016713,             0.00016713,             0.00016713
                     40,                0.77183,                0.64822,                 1.0059,                0.99025,                      1,                  0.995,                0.88989,                0.56346,                0.33262,                 0.8895,             0.00015475,             0.00015475,             0.00015475
                     41,                 0.7509,                0.62459,                 1.0188,                0.98986,                      1,                  0.995,                0.89028,                0.56212,                0.33601,                0.88985,             0.00014237,             0.00014237,             0.00014237
                     42,                0.74296,                0.59743,                 1.0003,                0.99003,                      1,                  0.995,                0.88633,                0.56978,                0.33835,                0.89231,                0.00013,                0.00013,                0.00013
                     43,                0.73661,                0.59072,                 1.0018,                0.99013,                      1,                  0.995,                0.89219,                0.56201,                0.33616,                0.88908,             0.00011763,             0.00011763,             0.00011763
                     44,                0.72092,                0.57852,                0.99616,                0.99028,                      1,                  0.995,                0.88812,                0.55866,                0.32718,                0.88717,             0.00010525,             0.00010525,             0.00010525
                     45,                0.72857,                0.58005,                0.99016,                0.98969,                      1,                  0.995,                0.88264,                0.55082,                0.32206,                0.88571,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     46,                0.71774,                0.57846,                0.99426,                0.99219,                      1,                  0.995,                 0.8924,                 0.5476,                0.31781,                0.88324,               8.05e-05,               8.05e-05,               8.05e-05
                     47,                0.71029,                0.57378,                0.98007,                0.99307,                      1,                  0.995,                0.88665,                0.55827,                0.31494,                0.88661,             6.8125e-05,             6.8125e-05,             6.8125e-05
